,frase
652,"O/A Sr.  Johannes Halvorsen Kalvik não sobreviveu ao acidente do Titanic. Na época, contava com 21 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.43 pelo bilhete 8475. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
653,"O/A Sra.  Hanora ""Norah"" O'Leary sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.83 pelo bilhete 330919. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
654,"O/A Sra.  Hanora ""Nora"" Hegarty não sobreviveu ao acidente do Titanic. Na época, contava com 18 anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 6.75 pelo bilhete 365226. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
655,"O/A Sr.  Leonard Mark Hickman não sobreviveu ao acidente do Titanic. Na época, contava com 24 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 73.5 pelo bilhete S.O.C. 14879. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
656,"O/A Sr.  Alexander Radeff não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.9 pelo bilhete 349223. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
657,"O/A Sra.  John (Catherine) Bourke não sobreviveu ao acidente do Titanic. Na época, contava com 32 anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 15.5 pelo bilhete 364849. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
658,"O/A Sr.  George Floyd Eitemiller não sobreviveu ao acidente do Titanic. Na época, contava com 23 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.0 pelo bilhete 29751. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
659,"O/A Sr.  Arthur Webster Newell não sobreviveu ao acidente do Titanic. Na época, contava com 58 anos, embarcou em Cherbourg, na cabine D48, classe A. Pagou US$ 113.28 pelo bilhete 35273. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
660,"O/A Sr.  Henry William Frauenthal sobreviveu ao acidente do Titanic. Na época, contava com 50 anos, embarcou em Southampton, na cabine desconhecida, classe A. Pagou US$ 133.65 pelo bilhete PC 17611. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
661,"O/A Sr.  Mohamed Badt não sobreviveu ao acidente do Titanic. Na época, contava com 40 anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 7.22 pelo bilhete 2623. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
662,"O/A Sr.  Edward Pomeroy Colley não sobreviveu ao acidente do Titanic. Na época, contava com 47 anos, embarcou em Southampton, na cabine E58, classe A. Pagou US$ 25.59 pelo bilhete 5727. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
663,"O/A Sr.  Peju Coleff não sobreviveu ao acidente do Titanic. Na época, contava com 36 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.5 pelo bilhete 349210. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
664,"O/A Sr.  Eino William Lindqvist sobreviveu ao acidente do Titanic. Na época, contava com 20 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.92 pelo bilhete STON/O 2. 3101285. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
665,"O/A Sr.  Lewis Hickman não sobreviveu ao acidente do Titanic. Na época, contava com 32 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 73.5 pelo bilhete S.O.C. 14879. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
666,"O/A Sr.  Reginald Fenton Butler não sobreviveu ao acidente do Titanic. Na época, contava com 25 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.0 pelo bilhete 234686. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
667,"O/A Sr.  Knud Paust Rommetvedt não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.78 pelo bilhete 312993. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
668,"O/A Sr.  Jacob Cook não sobreviveu ao acidente do Titanic. Na época, contava com 43 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete A/5 3536. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
669,"O/A Sra.  Elmer Zebley (Juliet Cummins Wright) Taylor sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine C126, classe A. Pagou US$ 52.0 pelo bilhete 19996. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
670,"O/A Sra.  Thomas William Solomon (Elizabeth Catherine Ford) Brown sobreviveu ao acidente do Titanic. Na época, contava com 40 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 39.0 pelo bilhete 29750. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
671,"O/A Sr.  Thornton Davidson não sobreviveu ao acidente do Titanic. Na época, contava com 31 anos, embarcou em Southampton, na cabine B71, classe A. Pagou US$ 52.0 pelo bilhete F.C. 12750. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
672,"O/A Sr.  Henry Michael Mitchell não sobreviveu ao acidente do Titanic. Na época, contava com 70 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 10.5 pelo bilhete C.A. 24580. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
673,"O/A Sr.  Charles Wilhelms sobreviveu ao acidente do Titanic. Na época, contava com 31 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.0 pelo bilhete 244270. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
674,"O/A Sr.  Ennis Hastings Watson não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 0.0 pelo bilhete 239856. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
675,"O/A Sr.  Gustaf Hjalmar Edvardsson não sobreviveu ao acidente do Titanic. Na época, contava com 18 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.78 pelo bilhete 349912. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
676,"O/A Sr.  Frederick Charles Sawyer não sobreviveu ao acidente do Titanic. Na época, contava com 24 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete 342826. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
677,"O/A Sra.  Anna Sofia Turja sobreviveu ao acidente do Titanic. Na época, contava com 18 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 9.84 pelo bilhete 4138. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
678,"O/A Sra.  Frederick (Augusta Tyler) Goodwin não sobreviveu ao acidente do Titanic. Na época, contava com 43 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 46.9 pelo bilhete CA 2144. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
679,"O/A Sr.  Thomas Drake Martinez Cardeza sobreviveu ao acidente do Titanic. Na época, contava com 36 anos, embarcou em Cherbourg, na cabine B51 B53 B55, classe A. Pagou US$ 512.33 pelo bilhete PC 17755. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
680,"O/A Sra.  Katie Peters não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 8.14 pelo bilhete 330935. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
681,"O/A Sr.  Hammad Hassab sobreviveu ao acidente do Titanic. Na época, contava com 27 anos, embarcou em Cherbourg, na cabine D49, classe A. Pagou US$ 76.73 pelo bilhete PC 17572. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
682,"O/A Sr.  Thor Anderson Olsvigen não sobreviveu ao acidente do Titanic. Na época, contava com 20 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 9.22 pelo bilhete 6563. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
683,"O/A Sr.  Charles Edward Goodwin não sobreviveu ao acidente do Titanic. Na época, contava com 14 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 46.9 pelo bilhete CA 2144. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
684,"O/A Sr.  Thomas William Solomon Brown não sobreviveu ao acidente do Titanic. Na época, contava com 60 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 39.0 pelo bilhete 29750. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
685,"O/A Sr.  Joseph Philippe Lemercier Laroche não sobreviveu ao acidente do Titanic. Na época, contava com 25 anos, embarcou em Cherbourg, na cabine desconhecida, classe B. Pagou US$ 41.58 pelo bilhete SC/Paris 2123. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
686,"O/A Sr.  Jaako Arnold Panula não sobreviveu ao acidente do Titanic. Na época, contava com 14 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 39.69 pelo bilhete 3101295. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
687,"O/A Sr.  Branko Dakic não sobreviveu ao acidente do Titanic. Na época, contava com 19 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 10.17 pelo bilhete 349228. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
688,"O/A Sr.  Eberhard Thelander Fischer não sobreviveu ao acidente do Titanic. Na época, contava com 18 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.8 pelo bilhete 350036. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
689,"O/A Sra.  Georgette Alexandra Madill sobreviveu ao acidente do Titanic. Na época, contava com 15 anos, embarcou em Southampton, na cabine B5, classe A. Pagou US$ 211.34 pelo bilhete 24160. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
690,"O/A Sr.  Albert Adrian Dick sobreviveu ao acidente do Titanic. Na época, contava com 31 anos, embarcou em Southampton, na cabine B20, classe A. Pagou US$ 57.0 pelo bilhete 17474. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
691,"O/A Sra.  Manca Karun sobreviveu ao acidente do Titanic. Na época, contava com 4 anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 13.42 pelo bilhete 349256. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
692,"O/A Sr.  Ali Lam sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 56.5 pelo bilhete 1601. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
693,"O/A Sr.  Khalil Saad não sobreviveu ao acidente do Titanic. Na época, contava com 25 anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 7.22 pelo bilhete 2672. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
694,"O/A Sr.  John Weir não sobreviveu ao acidente do Titanic. Na época, contava com 60 anos, embarcou em Southampton, na cabine desconhecida, classe A. Pagou US$ 26.55 pelo bilhete 113800. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
695,"O/A Sr.  Charles Henry Chapman não sobreviveu ao acidente do Titanic. Na época, contava com 52 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.5 pelo bilhete 248731. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
696,"O/A Sr.  James Kelly não sobreviveu ao acidente do Titanic. Na época, contava com 44 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.05 pelo bilhete 363592. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
697,"O/A Sra.  Katherine ""Katie"" Mullens sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.73 pelo bilhete 35852. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
698,"O/A Sr.  John Borland Thayer não sobreviveu ao acidente do Titanic. Na época, contava com 49 anos, embarcou em Cherbourg, na cabine C68, classe A. Pagou US$ 110.88 pelo bilhete 17421. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
699,"O/A Sr.  Adolf Mathias Nicolai Olsen Humblen não sobreviveu ao acidente do Titanic. Na época, contava com 42 anos, embarcou em Southampton, na cabine F G63, classe C. Pagou US$ 7.65 pelo bilhete 348121. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
700,"O/A Sra.  John Jacob (Madeleine Talmadge Force) Astor sobreviveu ao acidente do Titanic. Na época, contava com 18 anos, embarcou em Cherbourg, na cabine C62 C64, classe A. Pagou US$ 227.52 pelo bilhete PC 17757. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
701,"O/A Sr.  Spencer Victor Silverthorne sobreviveu ao acidente do Titanic. Na época, contava com 35 anos, embarcou em Southampton, na cabine E24, classe A. Pagou US$ 26.29 pelo bilhete PC 17475. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
702,"O/A Sra.  Saiide Barbara não sobreviveu ao acidente do Titanic. Na época, contava com 18 anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 14.45 pelo bilhete 2691. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
703,"O/A Sr.  Martin Gallagher não sobreviveu ao acidente do Titanic. Na época, contava com 25 anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.74 pelo bilhete 36864. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
704,"O/A Sr.  Henrik Juul Hansen não sobreviveu ao acidente do Titanic. Na época, contava com 26 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.85 pelo bilhete 350025. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
705,"O/A Sr.  Henry Samuel (""Mr Henry Marshall"") Morley não sobreviveu ao acidente do Titanic. Na época, contava com 39 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 26.0 pelo bilhete 250655. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
706,"O/A Sra.  Florence ""Fannie"" Kelly sobreviveu ao acidente do Titanic. Na época, contava com 45 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.5 pelo bilhete 223596. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
707,"O/A Sr.  Edward Pennington Calderhead sobreviveu ao acidente do Titanic. Na época, contava com 42 anos, embarcou em Southampton, na cabine E24, classe A. Pagou US$ 26.29 pelo bilhete PC 17476. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
708,"O/A Sra.  Alice Cleaver sobreviveu ao acidente do Titanic. Na época, contava com 22 anos, embarcou em Southampton, na cabine desconhecida, classe A. Pagou US$ 151.55 pelo bilhete 113781. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
709,"O/A Sr.  Halim Gonios (""William George"") Moubarek sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 15.25 pelo bilhete 2661. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
710,"O/A Sra.  Berthe Antonine (""Mrs de Villiers"") Mayne sobreviveu ao acidente do Titanic. Na época, contava com 24 anos, embarcou em Cherbourg, na cabine C90, classe A. Pagou US$ 49.5 pelo bilhete PC 17482. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
711,"O/A Sr.  Herman Klaber não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine C124, classe A. Pagou US$ 26.55 pelo bilhete 113028. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
712,"O/A Sr.  Elmer Zebley Taylor sobreviveu ao acidente do Titanic. Na época, contava com 48 anos, embarcou em Southampton, na cabine C126, classe A. Pagou US$ 52.0 pelo bilhete 19996. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
713,"O/A Sr.  August Viktor Larsson não sobreviveu ao acidente do Titanic. Na época, contava com 29 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 9.48 pelo bilhete 7545. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
714,"O/A Sr.  Samuel Greenberg não sobreviveu ao acidente do Titanic. Na época, contava com 52 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.0 pelo bilhete 250647. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
715,"O/A Sr.  Peter Andreas Lauritz Andersen Soholt não sobreviveu ao acidente do Titanic. Na época, contava com 19 anos, embarcou em Southampton, na cabine F G73, classe C. Pagou US$ 7.65 pelo bilhete 348124. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
716,"O/A Sra.  Caroline Louise Endres sobreviveu ao acidente do Titanic. Na época, contava com 38 anos, embarcou em Cherbourg, na cabine C45, classe A. Pagou US$ 227.52 pelo bilhete PC 17757. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
717,"O/A Sra.  Edwina Celia ""Winnie"" Troutt sobreviveu ao acidente do Titanic. Na época, contava com 27 anos, embarcou em Southampton, na cabine E101, classe B. Pagou US$ 10.5 pelo bilhete 34218. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
718,"O/A Sr.  Michael McEvoy não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 15.5 pelo bilhete 36568. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
719,"O/A Sr.  Malkolm Joackim Johnson não sobreviveu ao acidente do Titanic. Na época, contava com 33 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.78 pelo bilhete 347062. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
720,"O/A Sra.  Annie Jessie ""Nina"" Harper sobreviveu ao acidente do Titanic. Na época, contava com 6 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 33.0 pelo bilhete 248727. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
721,"O/A Sr.  Svend Lauritz Jensen não sobreviveu ao acidente do Titanic. Na época, contava com 17 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.05 pelo bilhete 350048. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
722,"O/A Sr.  William Henry Gillespie não sobreviveu ao acidente do Titanic. Na época, contava com 34 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.0 pelo bilhete 12233. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
723,"O/A Sr.  Henry Price Hodges não sobreviveu ao acidente do Titanic. Na época, contava com 50 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.0 pelo bilhete 250643. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
724,"O/A Sr.  Norman Campbell Chambers sobreviveu ao acidente do Titanic. Na época, contava com 27 anos, embarcou em Southampton, na cabine E8, classe A. Pagou US$ 53.1 pelo bilhete 113806. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
725,"O/A Sr.  Luka Oreskovic não sobreviveu ao acidente do Titanic. Na época, contava com 20 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 8.66 pelo bilhete 315094. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
726,"O/A Sra.  Peter Henry (Lillian Jefferys) Renouf sobreviveu ao acidente do Titanic. Na época, contava com 30 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 21.0 pelo bilhete 31027. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
727,"O/A Sra.  Margareth Mannion sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.74 pelo bilhete 36866. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
728,"O/A Sr.  Kurt Arnold Gottfrid Bryhl não sobreviveu ao acidente do Titanic. Na época, contava com 25 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 26.0 pelo bilhete 236853. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
729,"O/A Sra.  Pieta Sofia Ilmakangas não sobreviveu ao acidente do Titanic. Na época, contava com 25 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.92 pelo bilhete STON/O2. 3101271. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
730,"O/A Sra.  Elisabeth Walton Allen sobreviveu ao acidente do Titanic. Na época, contava com 29 anos, embarcou em Southampton, na cabine B5, classe A. Pagou US$ 211.34 pelo bilhete 24160. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
731,"O/A Sr.  Houssein G N Hassan não sobreviveu ao acidente do Titanic. Na época, contava com 11 anos, embarcou em Cherbourg, na cabine desconhecida, classe C. Pagou US$ 18.79 pelo bilhete 2699. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
732,"O/A Sr.  Robert J Knight não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 0.0 pelo bilhete 239855. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
733,"O/A Sr.  William John Berriman não sobreviveu ao acidente do Titanic. Na época, contava com 23 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.0 pelo bilhete 28425. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
734,"O/A Sr.  Moses Aaron Troupiansky não sobreviveu ao acidente do Titanic. Na época, contava com 23 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.0 pelo bilhete 233639. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
735,"O/A Sr.  Leslie Williams não sobreviveu ao acidente do Titanic. Na época, contava com 28 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 16.1 pelo bilhete 54636. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
736,"O/A Sra.  Edward (Margaret Ann Watson) Ford não sobreviveu ao acidente do Titanic. Na época, contava com 48 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 34.38 pelo bilhete W./C. 6608. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
737,"O/A Sr.  Gustave J Lesurer sobreviveu ao acidente do Titanic. Na época, contava com 35 anos, embarcou em Cherbourg, na cabine B101, classe A. Pagou US$ 512.33 pelo bilhete PC 17755. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
738,"O/A Sr.  Kanio Ivanoff não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.9 pelo bilhete 349201. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
739,"O/A Sr.  Minko Nankoff não sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.9 pelo bilhete 349218. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
740,"O/A Sr.  Walter James Hawksford sobreviveu ao acidente do Titanic. Na época, contava com desconhecidos anos, embarcou em Southampton, na cabine D45, classe A. Pagou US$ 30.0 pelo bilhete 16988. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
741,"O/A Sr.  Tyrell William Cavendish não sobreviveu ao acidente do Titanic. Na época, contava com 36 anos, embarcou em Southampton, na cabine C46, classe A. Pagou US$ 78.85 pelo bilhete 19877. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
742,"O/A Sra.  Susan Parker ""Suzette"" Ryerson sobreviveu ao acidente do Titanic. Na época, contava com 21 anos, embarcou em Cherbourg, na cabine B57 B59 B63 B66, classe A. Pagou US$ 262.38 pelo bilhete PC 17608. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
743,"O/A Sr.  Neal McNamee não sobreviveu ao acidente do Titanic. Na época, contava com 24 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 16.1 pelo bilhete 376566. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
744,"O/A Sr.  Juho Stranden sobreviveu ao acidente do Titanic. Na época, contava com 31 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.92 pelo bilhete STON/O 2. 3101288. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
745,"O/A Sr.  Edward Gifford Crosby não sobreviveu ao acidente do Titanic. Na época, contava com 70 anos, embarcou em Southampton, na cabine B22, classe A. Pagou US$ 71.0 pelo bilhete WE/P 5735. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
746,"O/A Sr.  Rossmore Edward Abbott não sobreviveu ao acidente do Titanic. Na época, contava com 16 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 20.25 pelo bilhete C.A. 2673. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
747,"O/A Sra.  Anna Sinkkonen sobreviveu ao acidente do Titanic. Na época, contava com 30 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 13.0 pelo bilhete 250648. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
748,"O/A Sr.  Daniel Warner Marvin não sobreviveu ao acidente do Titanic. Na época, contava com 19 anos, embarcou em Southampton, na cabine D30, classe A. Pagou US$ 53.1 pelo bilhete 113773. Embarcou Acompanhado de irmãos. Embarcou Não acompanhado de pais."
749,"O/A Sr.  Michael Connaghton não sobreviveu ao acidente do Titanic. Na época, contava com 31 anos, embarcou em Queenstown, na cabine desconhecida, classe C. Pagou US$ 7.75 pelo bilhete 335097. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
750,"O/A Sra.  Joan Wells sobreviveu ao acidente do Titanic. Na época, contava com 4 anos, embarcou em Southampton, na cabine desconhecida, classe B. Pagou US$ 23.0 pelo bilhete 29103. Embarcou Acompanhado de irmãos. Embarcou Acompanhado de pais."
751,"O/A Sr.  Meier Moor sobreviveu ao acidente do Titanic. Na época, contava com 6 anos, embarcou em Southampton, na cabine E121, classe C. Pagou US$ 12.48 pelo bilhete 392096. Embarcou Não acompanhado de irmãos. Embarcou Acompanhado de pais."
752,"O/A Sr.  Johannes Joseph Vande Velde não sobreviveu ao acidente do Titanic. Na época, contava com 33 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 9.5 pelo bilhete 345780. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
753,"O/A Sr.  Lalio Jonkoff não sobreviveu ao acidente do Titanic. Na época, contava com 23 anos, embarcou em Southampton, na cabine desconhecida, classe C. Pagou US$ 7.9 pelo bilhete 349204. Embarcou Não acompanhado de irmãos. Embarcou Não acompanhado de pais."
